Source,Destination,Packet_Count,Duration
fe80::2c07:fff:fefe:fef6,ff02::16,1,0
fe80::d0c3:3eff:fed2:db9e,ff02::16,1,0
::,ff02::1:ff00:499,1,0
fe80::894:f7ff:fef5:d808,ff02::16,1,0
::,ff02::1:ff00:488,1,0
fe80::6832:50ff:fec8:3174,ff02::16,1,0
fe80::d03a:1aff:fec7:b89c,ff02::2,3,52.286029
fe80::94bc:9eff:fe89:c31a,ff02::2,3,52.286049
fe80::7c3b:abff:fec8:aa23,ff02::2,3,52.285987
fe80::106d:d9ff:fed9:8a55,ff02::2,3,52.286007
fe80::2c07:fff:fefe:fef6,ff02::2,3,52.286007
fe80::7c6b:7eff:fe17:437f,ff02::2,2,27.632254
fe80::988a:c5ff:fe9e:385d,ff02::2,2,30.702869
fe80::b8fe:6dff:fe97:e85,ff02::2,2,30.702846
::,ff02::1:ff00:101,1,0
fe80::507e:9cff:fead:ef4,ff02::2,3,56.311824
fe80::1cfd:3dff:fe5d:84d9,ff02::2,3,52.311709
fe80::7c62:9fff:feac:5a58,ff02::2,2,29.675912
fe80::606c:34ff:fe7e:1597,ff02::2,2,30.697209
fe80::a8f5:f8ff:fe4f:8729,ff02::2,2,35.850084
::,ff02::1:ff00:501,1,0
fe80::2430:61ff:feb2:e925,ff02::2,3,52.266251
fe80::82b:5cff:fee9:7791,ff02::2,3,52.266251
fe80::8ce9:2ff:fe80:e003,ff02::2,3,52.266166
fe80::c02d:fdff:feb0:18d7,ff02::2,3,51.714689
fe80::fc61:73ff:fe1a:8743,ff02::2,3,47.641172
fe80::14ef:1fff:fe9a:1df4,ff02::2,2,59.91139
fe80::ecab:c1ff:fec5:120,ff02::2,2,29.168983
fe80::bcbf:d5ff:fe31:2854,ff02::2,2,31.239037
fe80::ec70:6cff:fed8:4cc2,ff02::2,2,35.35709
fe80::413:34ff:feac:c5d1,ff02::2,2,32.262452
fe80::341b:6fff:fe39:8efa,ff02::2,2,32.262435
fe80::e071:bbff:fee1:971c,ff02::2,2,55.799111
fe80::ccc:f2ff:fe83:c78c,ff02::2,2,55.799089
